name	project	mismatches	umi.count	linpcr.er	err.rate	delta	err.lb	err.ub	mismatches.corr	err.rate.corr	delta.corr	err.lb.corr	err.ub.corr
Encyclo	polerr2016-1	24557	185560	0.000127932685083822	4.41133146511461e-05	2.62214581561464e-07	4.35993740712856e-05	4.46272552310065e-05	20996.1216433769	3.7716680396955e-05	2.45125784530174e-07	3.72362338592759e-05	3.81971269346341e-05
Encyclo	polerr2016-2	14211	101516	0.000127932685083822	4.6662595058907e-05	3.6300188290119e-07	4.59511113684206e-05	4.73740787493933e-05	12262.9178311546	4.02659608047159e-05	3.40945937515018e-07	3.95977067671864e-05	4.09342148422453e-05
Kappa HF	polerr2016-2	2519	57052	8.17095808042273e-05	1.47175675991493e-05	2.8669242207885e-07	1.41556504518748e-05	1.52794847464239e-05	1819.74574939358	1.0632088558938e-05	2.45230326429638e-07	1.01514371191359e-05	1.111273999874e-05
Kappa HF	polerr2016-1	339	7876	8.17095808042273e-05	1.43473844591163e-05	7.62288364551517e-07	1.28532992645953e-05	1.58414696536373e-05	242.468301237886	1.02619054189049e-05	6.48799379188045e-07	8.99025863569637e-06	1.15335522021135e-05
SD-HS	polerr2016-2	10362	58518	0.000268873095870646	5.90245736354626e-05	5.26007007930573e-07	5.79935998999187e-05	6.00555473710065e-05	8001.91262637623	4.55809188419303e-05	4.73430560519553e-07	4.4652994943312e-05	4.65088427405486e-05
SD-HS	polerr2016-1	6714	33076	0.000268873095870646	6.7662353368001e-05	7.3720643367834e-07	6.62174287579914e-05	6.91072779780105e-05	5380.01302214738	5.42186985744687e-05	6.7640896806761e-07	5.28929369970562e-05	5.55444601518812e-05
SNP-detect	polerr2016-2	848	32310	5.03849790625422e-05	8.74858145053131e-06	2.96458835083415e-07	8.16752213376782e-06	9.3296407672948e-06	603.809198973389	6.2293324974042e-06	2.51128038927491e-07	5.73712154110632e-06	6.72154345370208e-06
SNP-detect	polerr2016-1	457	13870	5.03849790625422e-05	1.09829367940399e-05	5.05225329723424e-07	9.99269514778199e-06	1.19731784402978e-05	352.174051060381	8.46368784091278e-06	4.45242031216318e-07	7.5910134597288e-06	9.33636222209677e-06
Taq-HS	polerr2016-1	1875	15137	0.000183597769641276	4.12895553940675e-05	8.92532782720739e-07	3.95401911399349e-05	4.30389196482002e-05	1458.132084141	3.21096669120037e-05	7.99360234823411e-07	3.05429208517498e-05	3.36764129722576e-05
Taq-HS	polerr2016-2	3113	24082	0.000183597769641276	4.30888907344351e-05	7.20639955003873e-07	4.16764364226275e-05	4.45013450462427e-05	2449.78977672482	3.39090022523713e-05	6.49314009968365e-07	3.26363467928333e-05	3.51816577119093e-05
Tersus	polerr2016-2	5504	154226	5.98416948783226e-05	1.1895962202655e-05	1.57459610981259e-07	1.15873413651317e-05	1.22045830401782e-05	4119.62821485437	8.90387745873885e-06	1.36858233109168e-07	8.63563532184488e-06	9.17211959563282e-06
Tersus	polerr2016-1	2550	46927	5.98416948783226e-05	1.81132397127453e-05	3.48813768037003e-07	1.74295647273928e-05	1.87969146980979e-05	2128.77131766674	1.51211549688292e-05	3.2021338745667e-07	1.44935367294141e-05	1.57487732082443e-05
Tersus-SNP-buffer	polerr2016-2	1299	30683	5.09995972365812e-05	1.41120490173712e-05	3.83170484725613e-07	1.3361034867309e-05	1.48630631674334e-05	1064.2769036985	1.15620691555421e-05	3.4821101067019e-07	1.08795755746286e-05	1.22445627364557e-05
Tersus-SNP-buffer	polerr2016-1	6282	130891	5.09995972365812e-05	1.59980441741602e-05	1.96941725264908e-07	1.5612038392641e-05	1.63840499556794e-05	5280.691757716	1.34480643123311e-05	1.81289276718615e-07	1.30927373299626e-05	1.38033912946996e-05
TruSeq	polerr2016-2	362	16705	4.1003267784038e-05	7.22338621171306e-06	3.7551665261709e-07	6.48737357258356e-06	7.95939885084256e-06	259.256061750147	5.17322282251116e-06	3.18786738937836e-07	4.548400814193e-06	5.79804483082932e-06
TruSeq	polerr2016-1	312	14164	4.1003267784038e-05	7.34255859926574e-06	4.11086681484498e-07	6.53682870355613e-06	8.14828849497536e-06	224.884457266033	5.29239521006385e-06	3.50104100550111e-07	4.60619117298563e-06	5.97859924714206e-06
Velox	polerr2016-1	16802	132733	0.000129231709077719	4.21949829105548e-05	3.04222030728784e-07	4.15987077303264e-05	4.27912580907832e-05	14229.0031338481	3.57333974566688e-05	2.83050623887163e-07	3.517861823385e-05	3.62881766794876e-05
Velox	polerr2016-2	6298	44331	0.000129231709077719	4.73558758731663e-05	5.52712228280482e-07	4.62725599057365e-05	4.8439191840596e-05	5438.65436573135	4.08942904192803e-05	5.19391994380255e-07	3.9876282110295e-05	4.19122987282656e-05
